platform,ad_format,objective,audience_size,daily_budget,creative_quality,days_running,retargeting,day_of_week,ctr,cpc,roas
Google,carousel,conversions,narrow,1612.28,4,68,1,6,0.0409,3.95,5.22
Meta,video,traffic,narrow,1228.54,3,76,1,0,0.0499,2.37,5.82
Meta,carousel,awareness,medium,437.16,1,26,0,5,0.0227,1.81,1.82
Google,carousel,conversions,narrow,1014.92,4,61,0,5,0.0349,3.89,4.91
Meta,video,awareness,narrow,1497.5,4,67,1,1,0.0538,2.3,5.33
Meta,carousel,traffic,broad,1552.3,4,84,0,2,0.0281,1.63,3.08
Meta,video,traffic,broad,1024.26,1,74,1,1,0.0346,2.2,3.81
Meta,video,traffic,medium,645.17,3,52,0,6,0.0298,1.53,3.95
Google,video,conversions,broad,1948.8,4,18,0,4,0.0369,3.18,3.88
Google,carousel,conversions,medium,1343.56,1,53,0,5,0.0188,2.66,2.43
Google,image,traffic,narrow,846.06,2,63,1,4,0.0263,3.13,4.02
Google,video,conversions,broad,596.9,1,53,1,6,0.0291,2.49,3.71
Google,image,awareness,medium,1475.65,1,27,0,2,0.0123,2.52,1.7
Meta,image,conversions,broad,522.26,1,31,0,1,0.025,2.33,2.6
Google,video,conversions,narrow,384.83,4,1,0,5,0.0408,3.53,4.87
Meta,carousel,traffic,medium,1083.18,1,6,0,2,0.0211,1.63,2.26
Google,carousel,conversions,narrow,615.48,2,11,1,1,0.0338,3.34,4.68
Google,image,traffic,narrow,1276.37,4,34,0,1,0.0329,2.82,3.92
Meta,carousel,traffic,narrow,279.98,2,84,0,4,0.0277,1.82,3.25
Meta,image,awareness,broad,1327.14,5,63,0,3,0.0275,1.98,3.19
Meta,carousel,traffic,broad,602.43,1,53,0,6,0.0264,1.53,1.71
Meta,image,traffic,broad,50.47,4,85,1,0,0.0375,1.44,4.82
Google,image,traffic,medium,297.53,4,85,0,5,0.0149,1.95,2.52
Google,video,awareness,medium,1870.55,1,18,0,0,0.0132,3.2,2.34
Meta,carousel,conversions,narrow,1741.34,3,21,1,2,0.0477,3.08,5.7
Meta,image,conversions,narrow,505.54,3,19,0,0,0.0289,2.79,3.77
Meta,video,conversions,medium,1567.83,2,4,1,4,0.0472,2.86,5.39
Meta,video,conversions,broad,1236.71,1,77,0,3,0.0282,2.12,4.66
Meta,image,traffic,medium,1943.26,1,82,0,5,0.0198,1.98,1.39
Meta,image,traffic,narrow,778.53,5,29,0,6,0.0335,1.57,3.69
Google,image,traffic,narrow,1378.85,3,25,0,1,0.0347,4.06,1.83
Meta,carousel,conversions,narrow,173.89,3,56,0,1,0.0522,2.41,4.36
Meta,video,traffic,medium,822.68,1,77,0,6,0.0256,2.06,2.75
Google,image,conversions,broad,1929.44,2,63,0,4,0.0198,3.01,2.01
Meta,video,traffic,medium,1101.01,1,27,0,5,0.0275,2.13,2.1
Google,carousel,traffic,broad,611.37,2,60,1,0,0.0257,3.04,3.11
Google,carousel,conversions,medium,284.53,3,83,1,6,0.0328,2.87,4.59
Meta,image,conversions,medium,1421.88,5,49,0,1,0.0296,2.12,4.49
Meta,image,conversions,narrow,1307.47,4,65,0,0,0.0323,2.75,5.01
Meta,video,awareness,broad,779.18,3,38,1,4,0.042,1.07,5.28
Meta,image,awareness,broad,1904.34,2,83,1,1,0.0264,2.06,4.12
Meta,carousel,traffic,narrow,93.3,1,52,0,2,0.0151,2.17,2.7
Google,image,conversions,medium,642.26,3,1,0,3,0.0262,2.98,2.88
Meta,video,conversions,medium,1846.09,5,40,0,0,0.0428,2.47,5.01
Meta,image,traffic,medium,675.82,2,81,0,6,0.0287,1.86,2.17
Meta,carousel,traffic,broad,541.89,1,21,1,5,0.0309,1.84,2.87
Google,video,conversions,medium,1091.73,4,86,1,0,0.0376,2.63,5.74
Meta,video,conversions,medium,1656.41,2,15,1,0,0.0329,2.52,5.4
Meta,image,traffic,narrow,251.14,1,50,0,0,0.0214,2.71,2.34
Meta,carousel,conversions,narrow,1888.89,4,48,0,6,0.0379,2.57,4.86
Google,video,conversions,narrow,1600.39,1,32,1,4,0.0467,3.65,4.4
Meta,video,conversions,narrow,403.44,4,49,0,4,0.046,3.1,5.89
Google,video,traffic,broad,1438.42,4,68,0,5,0.0337,3.06,2.93
Google,video,awareness,broad,800.67,4,45,0,4,0.0214,2.39,2.35
Meta,image,awareness,narrow,834.47,1,32,0,6,0.0298,2.21,2.11
Google,image,traffic,broad,1577.42,4,4,0,5,0.0236,2.77,3.28
Meta,image,traffic,narrow,1927.43,2,65,0,5,0.0179,2.25,2.47
Google,image,conversions,medium,296.98,5,71,1,4,0.0466,2.87,5.69
Google,video,traffic,narrow,870.23,5,73,1,1,0.0505,2.88,6.14
Meta,carousel,conversions,medium,987.84,4,65,0,4,0.037,2.33,4.06
Meta,image,traffic,narrow,783.81,5,80,1,1,0.0427,1.91,5.63
Google,carousel,conversions,medium,758.22,5,18,0,2,0.0394,2.64,4.03
Meta,image,conversions,medium,151.92,4,54,0,4,0.0261,2.03,4.45
Meta,video,conversions,broad,1386.8,4,47,1,2,0.0512,2.93,6.16
Meta,image,conversions,narrow,900.62,2,6,0,4,0.0361,2.69,2.86
Meta,video,conversions,narrow,429.85,3,66,0,2,0.0381,2.43,4.67
Google,image,conversions,narrow,1641.27,1,9,1,3,0.0439,3.92,3.87
Meta,video,awareness,medium,1614.99,4,68,1,2,0.0472,1.94,5.76
Meta,video,conversions,narrow,998.46,4,23,0,1,0.0493,3.26,5.73
Meta,carousel,traffic,broad,631.98,5,43,0,0,0.0234,1.69,3.09
Google,video,awareness,medium,1294.28,2,51,0,5,0.0356,2.9,2.57
Meta,carousel,awareness,medium,611.9,5,72,0,2,0.0279,1.46,4.65
Google,video,traffic,medium,510.22,4,25,0,0,0.0361,2.6,3.78
Meta,image,awareness,narrow,1474.5,4,80,0,6,0.029,2.42,4.03
Google,image,conversions,narrow,128.63,5,35,1,3,0.0429,3.22,6.99
Meta,image,conversions,medium,234.8,4,17,0,3,0.0359,1.92,4.17
Meta,video,conversions,medium,63.24,3,18,0,6,0.0421,1.83,3.28
Meta,video,traffic,narrow,348.24,1,27,0,6,0.0266,2.09,3.28
Google,video,traffic,narrow,184.53,1,15,0,6,0.0335,2.94,1.67
Google,video,conversions,broad,1991.81,1,81,1,1,0.0382,3.36,4.57
Meta,image,conversions,narrow,613.18,3,69,0,6,0.0303,2.67,3.2
Google,carousel,traffic,broad,341.07,4,80,1,1,0.041,2.39,4.15
Google,carousel,conversions,broad,519.94,5,15,1,2,0.0327,2.99,4.76
Meta,carousel,traffic,narrow,1875.44,2,42,1,4,0.0379,2.4,4.03
Meta,carousel,traffic,narrow,1064.31,4,34,0,6,0.0394,2.22,3.56
Meta,image,traffic,narrow,761.4,3,48,1,6,0.0367,2.94,5.23
Meta,video,traffic,medium,1753.11,3,83,0,3,0.0343,2.12,3.27
Google,carousel,awareness,medium,820.23,1,8,0,0,0.0182,2.74,1.33
Google,image,conversions,broad,703.27,4,10,0,4,0.0231,3.14,2.31
Google,image,traffic,broad,454.2,1,5,0,3,0.0152,2.36,0.66
Meta,video,traffic,medium,786.7,2,48,0,2,0.0289,2.12,3.08
Meta,image,conversions,narrow,667.53,1,26,0,6,0.0302,2.51,2.55
Google,image,conversions,narrow,1370.74,2,86,0,3,0.0327,3.93,2.59
Google,carousel,conversions,broad,614.69,3,23,1,1,0.038,2.88,4.56
Google,image,conversions,narrow,1175.54,1,62,0,0,0.0279,3.26,3.31
Google,video,traffic,narrow,178.49,1,13,0,0,0.0223,2.86,2.21
Google,carousel,awareness,broad,423.01,5,9,1,1,0.0386,2.1,4.17
Meta,video,conversions,medium,844.44,3,20,0,6,0.0326,2.41,4.06
Meta,image,conversions,broad,1877.05,5,57,1,6,0.0356,2.2,5.72
Google,video,awareness,medium,785.64,2,24,1,4,0.0346,2.44,4.16
Google,image,conversions,narrow,1344.94,2,33,0,1,0.0225,3.17,1.63
Meta,carousel,conversions,broad,547.42,3,20,0,6,0.033,3.01,2.43
Meta,video,traffic,narrow,297.72,2,60,1,0,0.0501,1.49,5.11
Google,carousel,traffic,medium,164.15,3,48,1,6,0.0235,2.35,3.84
Meta,video,conversions,medium,645.56,2,64,1,2,0.0399,2.54,5.54
Meta,carousel,conversions,narrow,357.44,4,30,0,6,0.0337,2.82,4.6
Meta,carousel,conversions,medium,389.32,1,73,1,4,0.0337,2.37,4.53
Google,carousel,traffic,narrow,1533.48,4,17,0,5,0.0343,3.06,2.42
Google,video,traffic,medium,80.88,3,14,0,3,0.0268,2.73,3.39
Meta,carousel,conversions,medium,1137.73,3,19,0,5,0.0291,2.62,3.9
Google,image,traffic,broad,789.95,4,71,0,2,0.0265,2.6,1.88
Meta,video,awareness,broad,1037.77,1,59,1,5,0.0225,1.88,3.87
Meta,carousel,conversions,narrow,1147.52,1,67,1,6,0.0482,2.65,4.81
Google,video,conversions,medium,661.07,5,44,1,4,0.0453,2.73,6.37
Google,carousel,traffic,medium,625.46,2,32,0,0,0.0196,2.86,2.12
Google,video,conversions,narrow,1480.13,5,11,0,0,0.0414,4.04,5.85
Google,image,conversions,broad,1748.99,1,2,1,2,0.0327,3.06,3.63
Meta,image,traffic,broad,425.53,4,68,0,5,0.0188,1.58,2.99
Meta,video,awareness,narrow,240.36,2,17,1,4,0.0461,1.93,4.96
Meta,video,awareness,medium,1800.7,4,81,1,3,0.0486,2.03,5.91
Meta,video,traffic,narrow,732.3,5,40,1,6,0.0469,2.14,7.11
Meta,image,traffic,medium,1125.07,3,87,0,5,0.0204,2.12,2.74
Google,video,conversions,narrow,751.11,4,46,1,5,0.0503,3.2,5.98
Meta,image,traffic,broad,295.31,5,88,1,3,0.0336,1.33,4.38
Google,video,conversions,broad,1199.2,5,4,0,1,0.0309,3.53,4.09
Google,video,conversions,medium,1074.02,5,38,1,6,0.0463,2.98,6.36
Google,image,traffic,medium,445.84,3,63,0,2,0.0232,2.05,2.08
Meta,video,traffic,broad,931.14,3,29,0,6,0.0283,1.63,3.51
Meta,carousel,conversions,medium,1604.05,3,19,1,4,0.0474,2.38,4.97
Meta,carousel,awareness,narrow,1201.33,2,29,1,2,0.036,2.73,4.17
Meta,image,conversions,medium,238.99,3,35,1,3,0.0327,2.35,4.97
Google,image,conversions,broad,1118.64,3,70,0,4,0.0306,3.48,2.63
Meta,carousel,conversions,medium,1420.34,3,23,0,0,0.0287,2.67,3.39
Meta,video,traffic,medium,1595.77,4,46,1,0,0.0394,2.26,5.97
Google,video,traffic,broad,1276.78,3,44,0,6,0.0163,2.48,1.8
Meta,video,conversions,broad,347.68,2,48,0,4,0.0364,2.04,3.83
Google,carousel,traffic,broad,1434.84,5,52,0,2,0.0243,2.43,2.87
Google,video,conversions,narrow,1370.82,4,8,0,2,0.0397,3.55,4.51
Google,image,traffic,medium,97.63,1,55,1,0,0.0232,2.53,3.4
Meta,carousel,conversions,broad,852.91,3,66,1,0,0.0441,2.3,5.11
Meta,carousel,conversions,broad,699.25,5,77,0,3,0.0341,2.6,4.43
Google,image,awareness,medium,1355.35,5,40,0,4,0.0377,2.36,3.66
Meta,video,conversions,narrow,471.46,4,85,0,2,0.0467,2.69,5.22
Google,carousel,conversions,broad,1202.2,1,31,0,3,0.0233,2.79,1.93
Google,image,traffic,broad,1830.75,2,48,0,2,0.018,2.88,1.23
Google,video,awareness,narrow,1605.71,5,61,0,0,0.0398,3.4,4.29
Meta,video,conversions,medium,1846.84,5,52,1,4,0.0501,2.49,6.63
Meta,carousel,conversions,narrow,1958.09,5,38,1,1,0.0557,3.15,6.83
Google,image,conversions,medium,70.81,5,36,0,4,0.0326,2.53,3.99
Meta,carousel,traffic,narrow,1264.35,4,87,1,5,0.0441,1.78,5.91
Meta,carousel,conversions,medium,855.04,1,55,1,1,0.0368,2.42,4.35
Meta,image,traffic,medium,1726.72,5,85,0,6,0.0372,2.54,3.01
Google,image,awareness,medium,541.04,2,13,0,6,0.0273,2.16,1.8
Google,image,conversions,medium,1963.01,2,37,0,3,0.0253,3.76,2.39
Meta,video,conversions,broad,1246.73,3,47,0,1,0.0433,2.39,4.17
Meta,image,conversions,narrow,1597.4,5,71,1,1,0.0479,2.48,6.46
Google,carousel,conversions,narrow,216.92,5,22,1,3,0.0525,2.93,5.59
Google,image,awareness,broad,407.74,5,39,0,4,0.0297,2.43,3.14
Meta,carousel,conversions,narrow,1528.89,5,87,1,3,0.0495,2.74,6.69
Meta,image,conversions,broad,92.87,5,58,1,5,0.0396,1.63,5.97
Google,image,traffic,broad,1642.91,2,30,0,0,0.0227,2.28,1.32
Google,image,conversions,medium,77.2,1,18,0,6,0.0131,2.57,1.85
Google,image,traffic,broad,1331.38,1,18,1,0,0.0143,2.76,2.01
Google,image,conversions,narrow,761.93,3,74,1,6,0.0476,3.43,4.99
Meta,video,awareness,medium,1242.41,2,39,1,1,0.046,1.72,5.03
Meta,image,awareness,medium,1407.26,5,26,1,3,0.0432,1.98,4.91
Google,video,traffic,medium,717.83,1,71,0,3,0.0218,2.83,2.15
Google,video,awareness,broad,260.53,4,7,0,3,0.0258,2.5,2.96
Google,image,conversions,narrow,185.81,4,69,0,5,0.0344,3.22,3.83
Google,image,conversions,medium,1198.43,4,65,0,5,0.0349,3.44,2.97
Meta,carousel,traffic,medium,1065.28,5,46,1,4,0.0452,1.53,6.67
Meta,image,traffic,medium,1497.29,5,18,1,2,0.0518,1.88,5.1
Google,image,conversions,narrow,1043.98,3,13,1,6,0.0355,3.45,5.2
Google,image,conversions,medium,873.77,3,25,0,2,0.0239,2.69,3.85
Google,image,conversions,broad,826.27,3,8,0,2,0.0191,2.92,2.74
Google,video,conversions,narrow,101.57,4,74,0,6,0.0356,2.61,4.75
Google,video,conversions,broad,704.34,5,32,0,4,0.0342,3.58,4.01
Meta,video,traffic,medium,1953.24,4,17,1,3,0.0481,1.8,5.08
Meta,image,conversions,broad,1753.43,3,79,0,2,0.0286,3.0,3.65
Meta,video,conversions,broad,692.29,5,79,1,3,0.0609,2.22,7.2
Meta,video,traffic,narrow,1196.2,2,48,1,1,0.0483,2.43,4.99
Meta,video,traffic,medium,1702.23,1,63,0,2,0.0328,1.86,2.21
Meta,carousel,awareness,broad,910.48,1,40,0,1,0.0193,1.84,0.78
Meta,video,traffic,medium,85.02,3,84,1,4,0.0514,1.72,6.04
Meta,image,conversions,broad,195.3,4,15,0,0,0.041,2.26,3.71
Meta,video,awareness,medium,1045.27,2,6,1,5,0.0427,2.05,4.58
Meta,image,traffic,narrow,1940.41,5,63,0,6,0.032,2.37,3.7
Meta,video,conversions,medium,1401.76,4,8,0,4,0.0373,2.28,3.7
Google,video,traffic,broad,188.29,3,32,0,4,0.0264,1.88,3.11
Meta,image,awareness,medium,419.25,4,45,0,4,0.0303,1.78,3.22
Meta,video,conversions,broad,1554.08,3,52,1,2,0.0475,2.79,6.03
Meta,video,conversions,broad,1690.81,1,79,0,1,0.0303,2.99,2.85
Google,video,conversions,medium,1254.5,1,82,1,5,0.036,3.27,4.5
Meta,video,conversions,narrow,1306.63,4,13,1,2,0.0528,2.56,7.07
Google,video,conversions,broad,105.26,2,24,1,0,0.038,2.32,5.0
Meta,video,traffic,medium,1665.63,5,40,0,6,0.0483,2.31,4.82
Meta,carousel,conversions,broad,1587.14,3,14,1,6,0.0441,1.94,4.72
Meta,image,awareness,medium,555.12,5,75,0,5,0.0337,1.56,4.18
Meta,image,traffic,medium,1431.92,1,70,0,6,0.0241,1.86,2.55
Google,video,traffic,broad,468.97,2,62,1,6,0.0301,2.42,3.81
Google,carousel,awareness,medium,128.64,2,89,0,4,0.0175,2.35,1.72
Google,video,conversions,medium,442.22,5,61,1,3,0.0443,2.97,7.0
Meta,video,conversions,medium,398.33,1,1,0,0,0.0304,1.39,2.91
Meta,image,traffic,medium,708.61,5,89,1,1,0.0389,1.72,5.84
Google,video,awareness,medium,865.98,4,66,0,0,0.037,1.89,3.7
Meta,video,traffic,broad,1041.65,2,32,1,2,0.0346,2.03,3.24
Meta,image,conversions,medium,979.67,2,13,1,6,0.032,2.13,5.05
Meta,carousel,awareness,medium,577.82,4,33,0,3,0.0407,1.03,2.11
Meta,image,conversions,medium,106.88,1,32,0,2,0.0207,1.79,1.54
Google,image,awareness,narrow,1229.95,2,56,1,5,0.0338,2.9,4.27
Google,carousel,awareness,narrow,821.7,3,24,0,4,0.0313,3.3,2.86
Google,video,conversions,broad,632.41,3,4,0,6,0.0233,3.05,2.66
Meta,video,traffic,broad,1740.54,1,88,0,4,0.0302,2.13,2.54
Meta,video,conversions,medium,1506.15,4,23,1,0,0.0532,2.81,4.96
Meta,image,conversions,medium,1722.64,5,29,1,4,0.0528,2.49,6.47
Meta,image,traffic,narrow,1015.22,1,21,1,4,0.0316,2.43,3.89
Meta,carousel,traffic,medium,305.32,5,30,1,5,0.0445,1.8,5.27
Google,image,awareness,medium,1407.63,1,20,1,1,0.0242,2.34,2.84
Google,image,traffic,medium,451.84,3,16,0,1,0.0213,2.88,2.19
Meta,video,conversions,medium,910.4,4,67,0,2,0.0327,1.85,4.74
Google,carousel,awareness,narrow,176.75,3,49,0,6,0.0296,3.03,1.82
Google,carousel,awareness,narrow,1659.35,4,58,1,2,0.0349,2.74,5.97
Meta,carousel,conversions,broad,295.58,5,44,1,1,0.0468,2.27,6.43
Google,video,awareness,medium,1811.04,1,25,0,0,0.0114,3.4,0.84
Meta,image,conversions,medium,1735.25,2,23,1,1,0.0267,2.46,4.2
Meta,video,awareness,narrow,955.94,2,59,0,2,0.0401,2.11,3.59
Meta,video,conversions,narrow,1501.52,4,1,1,3,0.0533,3.03,7.1
Google,video,conversions,broad,1257.92,4,15,0,6,0.0271,3.08,2.43
Meta,image,conversions,medium,1616.0,3,81,0,4,0.0354,3.03,3.4
Meta,image,traffic,medium,892.02,2,81,1,5,0.0336,1.83,3.28
Meta,video,conversions,narrow,1582.33,3,52,1,3,0.0574,2.78,6.44
Meta,video,conversions,broad,951.79,5,58,0,3,0.0392,2.12,4.64
Google,image,traffic,narrow,1884.88,2,41,0,4,0.0364,2.99,2.5
Google,video,awareness,narrow,998.43,5,44,1,1,0.047,2.81,5.72
Meta,video,conversions,medium,952.11,1,4,1,6,0.0497,2.18,4.61
Meta,image,conversions,narrow,1580.89,3,77,1,0,0.0447,2.73,6.19
Meta,carousel,conversions,narrow,1652.08,4,68,0,3,0.0327,2.7,4.72
Meta,video,conversions,medium,1131.25,2,7,1,0,0.0464,2.97,5.45
Meta,video,awareness,medium,400.61,3,46,1,5,0.0446,1.31,5.2
Meta,video,awareness,broad,962.13,4,9,1,5,0.0377,1.83,4.65
Meta,carousel,traffic,medium,1937.74,1,87,1,5,0.0274,2.26,3.52
Google,image,conversions,narrow,1518.32,2,33,0,2,0.0269,3.84,3.1
Google,image,traffic,narrow,1631.77,5,33,0,3,0.0337,3.17,2.44
Meta,video,traffic,broad,114.01,1,84,1,5,0.0216,1.46,4.1
Meta,image,awareness,medium,962.33,4,4,0,2,0.0333,1.92,3.16
Google,video,traffic,broad,1310.91,2,65,1,5,0.0295,2.77,3.83
Meta,image,traffic,narrow,1668.56,2,34,0,1,0.0213,2.32,2.48
Google,carousel,traffic,medium,146.08,1,85,0,3,0.0217,1.88,0.45
Google,image,conversions,narrow,1712.26,2,88,0,2,0.0269,3.57,2.99
Meta,carousel,awareness,medium,1119.38,4,79,1,5,0.0471,1.49,6.18
Meta,image,traffic,broad,434.76,1,64,0,6,0.0182,1.43,1.64
Google,video,traffic,broad,668.65,5,25,1,2,0.041,2.51,4.9
Meta,carousel,conversions,medium,599.76,1,55,0,5,0.0252,2.29,2.66
